City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Esperance,AU,-33.8667,121.9,51.64,73,78,11.12,overcast clouds
Dikson,RU,73.5069,80.5464,8.42,92,90,20.85,overcast clouds
New Norfolk,AU,-42.7826,147.0587,58.5,86,3,2.8,overcast clouds
East London,ZA,-33.0153,27.9116,66.0,50,0,6.13,overcast clouds
San Pedro,PH,14.35,121.0167,83.43,76,20,3.44,overcast clouds
Belmonte,BR,-15.8631,-38.8828,76.46,85,4,8.08,overcast clouds
Avarua,CK,-21.2078,-159.775,80.65,83,40,9.22,overcast clouds
Coquimbo,CL,-29.9533,-71.3436,65.93,63,0,12.66,overcast clouds
Busselton,AU,-33.65,115.3333,55.49,78,47,6.11,overcast clouds
Kawhia,NZ,-38.0651,174.8183,55.11,65,2,5.77,overcast clouds
Ancud,CL,-41.8697,-73.8203,48.72,72,80,0.38,overcast clouds
Saint-Philippe,RE,-21.3585,55.7679,74.79,81,27,8.03,overcast clouds
Kyzyl-Suu,KG,42.3414,78.0056,43.75,33,0,9.31,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,46.42,70,40,24.16,overcast clouds
Batagay-Alyta,RU,67.8006,130.4114,2.37,94,70,4.41,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,51.82,83,75,17.27,overcast clouds
Ushuaia,AR,-54.8,-68.3,42.46,81,40,34.52,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,37.56,84,6,5.55,overcast clouds
Butaritari,KI,3.0707,172.7902,81.9,79,98,16.11,overcast clouds
Nikolskoye,RU,59.7035,30.7861,37.8,59,100,5.66,overcast clouds
Narsaq,GL,60.9167,-46.05,52.02,68,100,1.41,overcast clouds
Clyde River,CA,70.4692,-68.5914,8.83,85,75,16.11,overcast clouds
Madimba,TZ,-10.4,40.3333,75.92,87,96,11.83,overcast clouds
Rikitea,PF,-23.1203,-134.9692,77.47,66,31,21.36,overcast clouds
Beringovskiy,RU,63.05,179.3167,20.7,97,89,12.21,overcast clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,95,100,29.35,overcast clouds
Cape Town,ZA,-33.9258,18.4232,60.91,85,20,9.22,overcast clouds
Kapaa,US,22.0752,-159.319,78.78,83,100,11.5,overcast clouds
Carnarvon,AU,-24.8667,113.6333,59.07,82,0,9.22,overcast clouds
Cayenne,GF,4.9333,-52.3333,84.24,1,75,12.66,overcast clouds
Vestmanna,FO,62.1564,-7.1664,41.92,87,100,3.44,overcast clouds
Mataura,NZ,-46.1927,168.8643,43.97,96,17,1.43,overcast clouds
Pelym,RU,61.0108,61.9978,30.58,91,100,12.21,overcast clouds
Bengkulu,ID,-3.8004,102.2655,77.09,87,100,4.52,overcast clouds
Santa Rosa,PH,14.3122,121.1114,84.18,77,86,10.42,overcast clouds
Brokopondo,SR,4.75,-55.1667,79.59,86,79,8.3,overcast clouds
Kamaishi,JP,39.2667,141.8833,46.42,60,100,6.82,overcast clouds
Pangnirtung,CA,66.1451,-65.7125,19.4,73,100,29.93,overcast clouds
Faya,SA,18.3851,42.4509,62.71,47,0,1.01,overcast clouds
Puerto Ayora,EC,-0.7393,-90.3518,80.56,76,16,9.37,overcast clouds
Alofi,NU,-19.0595,-169.9187,80.49,83,40,12.66,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,65,0,14.97,overcast clouds
Raga,SS,8.4596,25.678,81.63,55,100,6.93,overcast clouds
Makakilo City,US,21.3469,-158.0858,80.92,55,0,17.27,overcast clouds
Atikokan,CA,48.7555,-91.6216,44.53,67,100,8.61,overcast clouds
Santa Fe,AR,-31.6333,-60.7,70.02,36,0,7.0,overcast clouds
Ajdabiya,LY,30.7554,20.2263,76.55,23,0,23.26,overcast clouds
Shimoda,JP,34.6667,138.95,57.11,81,96,15.19,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,47.12,90,24,4.09,overcast clouds
Qaanaaq,GL,77.484,-69.3632,29.97,96,100,4.16,overcast clouds
Novobirilyussy,RU,56.9514,90.6661,50.29,71,100,9.17,overcast clouds
Ilulissat,GL,69.2167,-51.1,26.62,86,100,5.75,overcast clouds
Albany,US,42.6001,-73.9662,54.18,22,9,1.99,overcast clouds
Port Alfred,ZA,-33.5906,26.891,66.56,55,9,10.11,overcast clouds
Muros,ES,42.7762,-9.0603,57.69,77,65,10.85,overcast clouds
Anadyr,RU,64.75,177.4833,27.1,74,0,2.24,overcast clouds
Jamestown,US,42.097,-79.2353,45.01,39,0,14.97,overcast clouds
Thompson,CA,55.7435,-97.8558,48.36,40,100,11.5,overcast clouds
Atuona,PF,-9.8,-139.0333,78.71,78,45,20.18,overcast clouds
Saskylakh,RU,71.9167,114.0833,23.56,94,100,8.3,overcast clouds
Korla,CN,41.7597,86.1469,50.81,59,85,6.85,overcast clouds
Airai,TL,-8.9266,125.4092,56.8,86,89,2.35,overcast clouds
Yulara,AU,-25.2406,130.9889,75.04,35,99,8.05,overcast clouds
Vanimo,PG,-2.6741,141.3028,77.38,87,100,3.31,overcast clouds
Brae,GB,60.3964,-1.353,45.34,82,92,3.09,overcast clouds
Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,13.8,overcast clouds
Kazachinskoye,RU,57.6953,93.2761,45.27,84,100,6.35,overcast clouds
Tukrah,LY,32.5341,20.5791,72.3,32,0,12.86,overcast clouds
Vaini,TO,-21.2,-175.2,78.96,69,75,12.66,overcast clouds
Valparaiso,CL,-33.0393,-71.6273,73.04,60,0,18.41,overcast clouds
Sitka,US,57.0531,-135.33,49.89,57,20,6.91,overcast clouds
Havoysund,NO,70.9963,24.6622,25.03,61,100,16.87,overcast clouds
Winslow,US,35.0242,-110.6974,77.18,8,0,11.5,overcast clouds
Indramayu,ID,-6.3264,108.32,79.93,83,76,5.79,overcast clouds
Hobart,AU,-42.8794,147.3294,57.06,92,20,6.91,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,65.71,80,94,2.46,overcast clouds
Tiksi,RU,71.6872,128.8694,3.54,96,30,5.73,overcast clouds
Mogadishu,SO,2.0371,45.3438,83.44,74,100,11.14,overcast clouds
Hilo,US,19.7297,-155.09,83.28,70,100,5.75,overcast clouds
Hasaki,JP,35.7333,140.8333,54.28,73,84,11.77,overcast clouds
Souillac,MU,-20.5167,57.5167,71.98,94,20,5.75,overcast clouds
Sur,OM,22.5667,59.5289,87.6,47,93,7.49,overcast clouds
Crotone,IT,39.0851,17.1178,60.3,61,71,21.94,overcast clouds
Kutum,SD,14.2,24.6667,80.83,11,86,6.62,overcast clouds
Nanortalik,GL,60.1432,-45.2371,39.0,82,100,3.38,overcast clouds
Sebinkarahisar,TR,40.2883,38.4236,53.04,72,100,2.28,overcast clouds
Kitsuki,JP,33.4167,131.6167,64.36,99,100,14.18,overcast clouds
North Myrtle Beach,US,33.816,-78.68,75.38,35,0,9.22,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,74.21,94,20,5.75,overcast clouds
Bilibino,RU,68.0546,166.4372,26.62,89,100,1.79,overcast clouds
Cherskiy,RU,68.75,161.3,16.14,94,100,9.95,overcast clouds
Kavieng,PG,-2.5744,150.7967,82.87,74,100,9.28,overcast clouds
Bluff,NZ,-46.6,168.3333,47.62,88,58,7.36,overcast clouds
San Cristobal,VE,7.7669,-72.225,77.18,60,83,1.77,overcast clouds
Hermanus,ZA,-34.4187,19.2345,57.79,87,97,5.19,overcast clouds
Lebu,CL,-37.6167,-73.65,53.58,71,8,15.61,overcast clouds
Poum,NC,-20.2333,164.0167,74.43,83,100,11.5,overcast clouds
Rio Gallegos,AR,-51.6226,-69.2181,46.45,61,75,25.32,overcast clouds
Mega,ET,4.05,38.3,57.33,95,66,3.42,overcast clouds
Daru,PG,-9.0763,143.2092,79.48,85,99,9.17,overcast clouds
Lyuban,BY,52.7985,28.0048,38.86,69,17,6.51,overcast clouds
Mudgee,AU,-32.5943,149.5871,59.79,100,100,1.14,overcast clouds
Isangel,VU,-19.55,169.2667,77.41,76,100,19.8,overcast clouds
Plettenberg Bay,ZA,-34.0527,23.3716,60.1,74,8,3.49,overcast clouds
Moose Factory,CA,51.2585,-80.6094,44.6,33,0,13.8,overcast clouds
Ust-Ishim,RU,57.6935,71.1665,55.08,80,100,6.31,overcast clouds
Bay City,US,43.5945,-83.8889,54.41,44,0,6.91,overcast clouds
Lufilufi,WS,-13.8745,-171.5986,77.79,80,38,22.57,overcast clouds
Barrow,US,71.2906,-156.7887,6.82,78,100,18.41,overcast clouds
Dicabisagan,PH,17.0818,122.4157,78.57,89,57,4.05,overcast clouds
Mahebourg,MU,-20.4081,57.7,74.25,94,20,5.75,overcast clouds
Dingle,PH,10.9995,122.6711,76.53,91,100,6.87,overcast clouds
Saint-Joseph,RE,-21.3667,55.6167,73.78,80,16,4.07,overcast clouds
Yellowknife,CA,62.456,-114.3525,39.72,48,75,20.71,overcast clouds
Awjilah,LY,29.1081,21.2869,86.22,9,84,5.77,overcast clouds
Port Hardy,CA,50.6996,-127.4199,48.2,81,40,6.91,overcast clouds
Nesbyen,NO,60.5681,9.1027,40.01,92,72,2.75,overcast clouds
Shawville,CA,45.6001,-76.4827,49.86,31,0,14.54,overcast clouds
Aklavik,CA,68.2191,-135.0107,14.0,73,75,3.44,overcast clouds
Simao,CN,22.7886,100.9748,65.3,40,9,0.78,overcast clouds
Portland,US,45.5234,-122.6762,56.52,72,100,3.44,overcast clouds
Kachiry,KZ,53.0675,76.1036,61.41,50,91,8.9,overcast clouds
Mamallapuram,IN,12.6264,80.1722,86.05,83,13,8.66,overcast clouds
Saint George,US,37.1041,-113.5841,83.62,10,0,14.97,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,88.9,30,0,11.5,overcast clouds
Port Blair,IN,11.6667,92.75,82.4,82,98,5.44,overcast clouds
Amazar,RU,53.858,120.875,32.49,60,100,6.6,overcast clouds
Meulaboh,ID,4.1363,96.1285,77.47,88,71,2.93,overcast clouds
Lubumbashi,CD,-11.6609,27.4794,62.4,85,79,4.97,overcast clouds
Kudahuvadhoo,MV,2.6708,72.8944,84.49,73,82,8.41,overcast clouds
Sapa,PH,5.1544,120.3241,81.81,81,94,8.59,overcast clouds
Quatre Cocos,MU,-20.2078,57.7625,74.08,79,0,3.29,overcast clouds
Laguna,US,38.421,-121.4238,70.32,37,0,4.61,overcast clouds
Paracuru,BR,-3.41,-39.0306,84.11,88,49,8.88,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,91,20,10.36,overcast clouds
Georgetown,MY,5.4112,100.3354,80.55,89,20,5.01,overcast clouds
Rumonge,BI,-3.9736,29.4386,70.27,88,82,1.66,overcast clouds
Krasnoselkup,RU,65.7,82.4667,26.38,97,100,15.01,overcast clouds
Axim,GH,4.8699,-2.2405,78.12,83,100,5.03,overcast clouds
Vila,PT,42.0304,-8.1588,54.48,86,10,3.53,overcast clouds
Broken Hill,AU,-31.95,141.4333,60.51,82,97,8.05,overcast clouds
Hamilton,US,39.1834,-84.5333,65.43,45,100,6.91,overcast clouds
Kletskaya,RU,49.3145,43.0584,51.01,59,5,8.5,overcast clouds
Forestville,US,38.8451,-76.875,60.53,28,0,12.66,overcast clouds
Moussoro,TD,13.6408,16.4901,91.72,25,50,9.75,overcast clouds
Grenville,GD,12.1167,-61.6167,82.45,80,100,14.85,overcast clouds
Bethel,US,41.3712,-73.414,55.63,27,0,13.8,overcast clouds
Hithadhoo,MV,-0.6,73.0833,84.88,70,93,8.08,overcast clouds
Cidreira,BR,-30.1811,-50.2056,66.47,91,100,6.55,overcast clouds
San Patricio,US,28.017,-97.5169,87.75,54,17,19.82,overcast clouds
Pemangkat,ID,1.1667,108.9667,78.49,88,94,4.54,overcast clouds
Lewiston,US,44.1003,-70.2148,51.04,42,20,24.16,overcast clouds
Birjand,IR,32.8663,59.2211,63.07,34,0,9.22,overcast clouds
Nyagan,RU,62.1406,65.3936,30.79,97,100,7.49,overcast clouds
Viransehir,TR,37.2353,39.7631,64.22,56,100,5.61,overcast clouds
Taoudenni,ML,22.6783,-3.9836,89.38,8,0,6.6,overcast clouds
Saldanha,ZA,-33.0117,17.9442,55.45,91,3,13.44,overcast clouds
Sechura,PE,-5.5569,-80.8222,77.25,64,88,12.35,overcast clouds
Meiganga,CM,6.5167,14.3,64.99,92,93,1.52,overcast clouds
Vershino-Darasunskiy,RU,52.35,115.5167,27.93,88,97,7.49,overcast clouds
Norman Wells,CA,65.282,-126.8329,37.44,56,100,4.61,overcast clouds
Castro,BR,-24.7911,-50.0119,66.79,84,77,3.8,overcast clouds
Handan,CN,36.6006,114.4678,43.45,85,1,2.73,overcast clouds
Lavrentiya,RU,65.5833,-171.0,29.73,87,70,9.51,overcast clouds
Vestmannaeyjar,IS,63.4427,-20.2734,46.47,80,16,2.71,overcast clouds
Ovsyanka,RU,55.9575,92.5519,56.37,92,86,6.8,overcast clouds
Pacific Grove,US,36.6177,-121.9166,66.54,68,40,13.8,overcast clouds
Macau,MO,22.2006,113.5461,81.86,94,20,4.61,overcast clouds
Makungu,TZ,-8.7333,35.2833,62.04,99,92,4.38,overcast clouds
Martinez,US,38.0194,-122.1341,71.1,49,0,11.5,overcast clouds
Cordoba,AR,-31.4135,-64.1811,64.76,24,0,6.91,overcast clouds
Mount Isa,AU,-20.7333,139.5,74.97,73,75,6.91,overcast clouds
Abbeville,FR,50.1,1.8333,53.49,85,100,8.52,overcast clouds
Klaksvik,FO,62.2266,-6.589,43.72,82,12,4.94,overcast clouds
Fairbanks,US,64.8378,-147.7164,52.25,42,40,1.01,overcast clouds
Kokstad,ZA,-30.5472,29.4241,48.29,62,0,5.61,overcast clouds
Itarema,BR,-2.9248,-39.9167,77.99,88,91,10.02,overcast clouds
Bandarbeyla,SO,9.4942,50.8122,83.17,77,27,8.21,overcast clouds
Ciamis,ID,-7.3257,108.3534,73.81,96,100,1.92,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,60.31,80,0,1.99,overcast clouds
Torbay,CA,47.6666,-52.7314,47.75,88,100,8.05,overcast clouds
Caconda,AO,-13.7333,15.0667,63.9,74,74,4.0,overcast clouds
Yichun,CN,47.7,128.9,32.47,53,7,2.24,overcast clouds
Kachug,RU,53.9606,105.8817,28.98,71,1,2.01,overcast clouds
Nishihara,JP,26.1842,127.7558,78.85,94,75,14.97,overcast clouds
Pevek,RU,69.7008,170.3133,21.6,97,100,4.63,overcast clouds
Odienne,CI,9.51,-7.5692,74.82,83,100,5.1,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,33.69,95,100,16.69,overcast clouds
Hay River,CA,60.8156,-115.7999,35.56,64,20,10.36,overcast clouds
Hailar,CN,49.2,119.7,34.95,84,100,10.87,overcast clouds
Sinnamary,GF,5.3833,-52.95,80.24,81,61,11.1,overcast clouds
Guaruja,BR,-23.9931,-46.2564,85.86,58,0,5.75,overcast clouds
Sarab,IR,38.6066,44.9883,60.01,64,43,2.55,overcast clouds
Lakeside,US,30.13,-81.7682,79.97,49,0,17.27,overcast clouds
Kargasok,RU,59.0556,80.8572,55.06,82,99,13.02,overcast clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,85,14,11.72,overcast clouds
Wurzburg,DE,49.7878,9.9361,56.8,69,14,2.01,overcast clouds
Talnakh,RU,69.4865,88.3972,8.87,92,100,2.77,overcast clouds
Guerrero Negro,MX,27.9769,-114.0611,66.45,55,1,18.9,overcast clouds
Penzance,GB,50.1186,-5.5371,45.28,84,45,5.99,overcast clouds
Chokurdakh,RU,70.6333,147.9167,-3.42,100,100,3.74,overcast clouds
Chulumani,BO,-16.4096,-67.5263,72.81,75,99,3.62,overcast clouds
Manokwari,ID,-0.8667,134.0833,78.19,75,95,4.05,overcast clouds
Lorengau,PG,-2.0226,147.2712,81.12,75,99,0.45,overcast clouds
Denpasar,ID,-8.65,115.2167,80.26,94,40,1.14,overcast clouds
Vila Velha,BR,-20.3297,-40.2925,82.35,81,0,9.22,overcast clouds
Kalengwa,ZM,-13.4659,25.0027,56.68,92,6,4.23,overcast clouds
Kanniyakumari,IN,8.0833,77.5667,83.82,80,76,11.14,overcast clouds
El Viejo,NI,12.6633,-87.1672,88.02,70,40,6.91,overcast clouds
Bardiyah,LY,31.7561,25.0865,65.21,76,0,16.2,overcast clouds
Tobermory,CA,45.2501,-81.6665,36.9,58,0,9.84,overcast clouds
Xining,CN,36.6167,101.7667,43.95,68,97,6.24,overcast clouds
Kodiak,US,57.79,-152.4072,44.11,70,100,13.8,overcast clouds
Brus,RS,43.3836,21.0336,47.62,83,53,3.02,overcast clouds
Deputatskiy,RU,69.3,139.9,3.45,96,81,2.53,overcast clouds
Kande,TG,9.9578,1.0447,83.57,54,100,3.2,overcast clouds
Ponta Delgada,PT,37.7333,-25.6667,63.5,94,75,27.63,overcast clouds
Itirucu,BR,-13.5317,-40.1503,67.05,80,3,5.7,overcast clouds
West Fargo,US,46.875,-96.9004,56.01,53,20,14.97,overcast clouds
Stepnyak,KZ,52.8339,70.7803,57.33,47,100,8.05,overcast clouds
Esna,EG,25.2934,32.554,84.22,7,2,7.76,overcast clouds
Horta,PT,38.5333,-28.6333,62.24,94,75,13.8,overcast clouds
Velasco Ibarra,EC,-1.05,-79.6167,80.02,79,99,4.54,overcast clouds
Shenjiamen,CN,29.9576,122.298,55.92,93,100,23.22,overcast clouds
Aswan,EG,24.0934,32.907,90.7,15,0,5.75,overcast clouds
Katsuura,JP,35.1333,140.3,61.16,85,99,10.31,overcast clouds
Tynda,RU,55.1667,124.7167,22.26,73,10,4.05,overcast clouds
Flinders,AU,-34.5833,150.8552,61.88,92,0,5.99,overcast clouds
Khatanga,RU,71.9667,102.5,12.83,94,98,7.09,overcast clouds
Codrington,AU,-38.2667,141.9667,64.92,67,83,14.32,overcast clouds
Bathsheba,BB,13.2167,-59.5167,84.81,74,20,13.8,overcast clouds
Sisimiut,GL,66.9395,-53.6735,25.05,94,100,3.67,overcast clouds
Auki,SB,-8.7676,160.7034,79.99,83,97,2.04,overcast clouds
Okhotsk,RU,59.3833,143.3,27.16,72,100,17.92,overcast clouds
Tautira,PF,-17.7333,-149.15,80.53,74,23,21.94,overcast clouds
Macaparana,BR,-7.5547,-35.4531,74.16,81,73,11.05,overcast clouds
Doha,QA,25.2867,51.5333,82.71,67,63,14.97,overcast clouds
Am Timan,TD,11.0297,20.2827,88.36,43,23,10.29,overcast clouds
Bone,DE,51.9669,12.1396,49.82,70,10,2.26,overcast clouds
Rock Springs,US,41.5875,-109.2029,66.04,21,75,23.02,overcast clouds
Luderitz,NA,-26.6481,15.1594,60.35,72,1,7.27,overcast clouds
Hami,CN,42.8,93.45,55.94,17,93,11.43,overcast clouds
Husavik,IS,66.0449,-17.3389,43.5,65,21,2.86,overcast clouds
Xichang,CN,27.8964,102.2634,56.8,88,40,2.39,overcast clouds
Aktash,RU,50.3,87.7333,25.81,72,73,2.08,overcast clouds
Mayo,US,38.8876,-76.5119,60.75,30,0,12.66,overcast clouds
Iqaluit,CA,63.7506,-68.5145,18.7,57,75,12.66,overcast clouds
Mersing,MY,2.4312,103.8405,78.71,94,40,3.44,overcast clouds
Kununurra,AU,-15.7667,128.7333,75.18,88,100,3.44,overcast clouds
Qasigiannguit,GL,68.8193,-51.1922,26.85,90,100,3.58,overcast clouds
Boizenburg,DE,53.3833,10.7167,47.97,85,13,5.75,overcast clouds
Touros,BR,-5.1989,-35.4608,80.31,79,82,14.29,overcast clouds
Balarampur,IN,23.1167,86.2167,81.32,43,0,3.2,overcast clouds
Constitucion,CL,-35.3333,-72.4167,58.28,56,0,11.97,overcast clouds
Avera,US,33.194,-82.5271,78.31,30,1,7.18,overcast clouds
Colorado Springs,US,38.8339,-104.8214,77.81,15,20,19.57,overcast clouds
Dolores,AR,-36.3132,-57.6792,49.53,50,0,8.59,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,56.95,94,59,0.54,overcast clouds
Chuy,UY,-33.6971,-53.4616,59.13,67,0,7.07,overcast clouds
Mangai,CD,-4.05,19.5333,72.32,87,81,0.67,overcast clouds
Nome,US,64.5011,-165.4064,39.27,75,100,17.27,overcast clouds
Bowen,AU,-20.0167,148.2333,72.3,86,53,12.06,overcast clouds
Kindersley,CA,51.4668,-109.1682,51.82,46,40,11.5,overcast clouds
Tenenkou,ML,14.4572,-4.9169,88.54,15,99,4.68,overcast clouds
Abu Kamal,SY,34.4506,40.9171,78.48,34,100,6.6,overcast clouds
Salalah,OM,17.0151,54.0924,84.29,79,40,4.61,overcast clouds
Mount Gambier,AU,-37.8333,140.7667,62.51,82,100,6.91,overcast clouds
Fort Smith,US,35.3859,-94.3986,73.45,82,100,11.5,overcast clouds
Banda Aceh,ID,5.5577,95.3222,80.67,81,88,6.31,overcast clouds
Provideniya,RU,64.3833,-173.3,31.17,78,43,14.27,overcast clouds
San Quintin,MX,30.4833,-115.95,63.23,63,10,21.68,overcast clouds
Te Anau,NZ,-45.4167,167.7167,46.65,90,57,1.01,overcast clouds
Elat,IL,29.5581,34.9482,80.44,22,0,16.11,overcast clouds
Kralendijk,BQ,12.15,-68.2667,82.38,74,100,16.11,overcast clouds
Bayji,IQ,34.9311,43.487,77.54,39,76,6.42,overcast clouds
Ustka,PL,54.5805,16.8619,41.07,71,39,6.35,overcast clouds
Geraldton,AU,-28.7667,114.6,54.01,94,0,6.91,overcast clouds
Cap Malheureux,MU,-19.9842,57.6142,74.46,80,0,3.0,overcast clouds
Evensk,RU,61.95,159.2333,36.64,76,91,16.69,overcast clouds
Longyearbyen,SJ,78.2186,15.6401,8.44,61,40,23.02,overcast clouds
Nuevo Progreso,MX,23.1667,-97.95,86.54,59,59,5.01,overcast clouds
Hobyo,SO,5.3505,48.5268,83.91,73,6,12.39,overcast clouds
San Vicente,AR,-26.6167,-54.1333,68.22,91,74,2.39,overcast clouds
San Andres,CO,12.5847,-81.7006,84.22,70,100,11.5,overcast clouds
Caravelas,BR,-17.7125,-39.2481,75.92,81,0,4.74,overcast clouds
Payson,US,40.0444,-111.7321,73.26,19,100,11.01,overcast clouds
Porvoo,FI,60.3923,25.6651,38.16,94,94,10.13,overcast clouds
Prieska,ZA,-29.6641,22.7474,70.72,43,18,12.59,overcast clouds
Warri,NG,5.5167,5.75,76.98,91,98,3.98,overcast clouds
Darlowo,PL,54.421,16.4107,42.21,71,36,5.77,overcast clouds
Arman,RU,59.7,150.1667,28.42,70,100,16.17,overcast clouds
Kosh-Agach,RU,50.0,88.6667,31.89,60,43,2.08,overcast clouds
Olinala,MX,17.8333,-98.85,90.18,21,2,5.73,overcast clouds
Mandalgovi,MN,45.7625,106.2708,30.45,31,6,13.78,overcast clouds
Kandrian,PG,-6.2167,149.55,77.68,88,86,3.2,overcast clouds
Teguise,ES,29.0605,-13.564,61.02,68,20,17.27,overcast clouds
Jenbach,AT,47.4013,11.7406,42.46,91,4,2.51,overcast clouds
Pochinki,RU,54.6988,44.8668,33.57,72,16,3.38,overcast clouds
Kahului,US,20.8947,-156.47,82.42,51,20,13.8,overcast clouds
Sorland,NO,67.667,12.6934,35.13,56,100,16.24,overcast clouds
San Pedro Carcha,GT,15.4833,-90.2667,81.21,57,40,6.91,overcast clouds
Lasa,IT,46.6166,10.7002,56.28,76,3,4.05,overcast clouds
Sterling,US,39.0062,-77.4286,61.52,28,0,14.0,overcast clouds
Ouadda,CF,8.0777,22.4007,69.89,86,100,3.02,overcast clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,40,0,8.05,overcast clouds
Eurajoki,FI,61.2,21.7333,32.02,94,9,4.94,overcast clouds
Tomatlan,MX,19.9333,-105.25,93.78,33,13,12.55,overcast clouds
Lagoa,PT,39.05,-27.9833,61.27,94,100,18.19,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,8.6,85,100,13.8,overcast clouds
Saint-Pierre,RE,-21.3393,55.4781,74.91,75,20,5.75,overcast clouds
Charters Towers,AU,-20.1,146.2667,67.21,88,22,6.51,overcast clouds
Yangjiang,CN,21.85,111.9667,76.37,96,17,0.98,overcast clouds
Sambava,MG,-14.2667,50.1667,75.67,84,22,14.41,overcast clouds
Ayan,RU,56.45,138.1667,31.51,70,100,10.83,overcast clouds
Maniitsoq,GL,65.4167,-52.9,30.49,98,100,3.13,overcast clouds
Biak,ID,-0.9131,122.8766,76.69,82,100,3.76,overcast clouds
Inuvik,CA,68.3499,-133.7218,16.66,67,75,6.91,overcast clouds
Itoman,JP,26.1247,127.6694,79.57,94,100,17.27,overcast clouds
Nova Olimpia,BR,-14.7972,-57.2881,83.23,57,29,3.56,overcast clouds
Chulym,RU,55.0997,80.9572,57.43,70,100,11.03,overcast clouds
Freeport,US,40.6576,-73.5832,59.38,18,0,26.46,overcast clouds
Hailey,US,43.5196,-114.3153,54.88,50,100,14.0,overcast clouds
Tocopilla,CL,-22.092,-70.1979,66.38,76,100,7.4,overcast clouds
Hassleholm,SE,56.1591,13.7664,44.35,89,21,4.74,overcast clouds
Ucluelet,CA,48.9329,-125.5528,52.09,79,100,1.99,overcast clouds
Victoria,HK,22.2855,114.1577,82.18,86,17,5.01,overcast clouds
Chipinge,ZW,-20.1883,32.6236,58.6,72,98,1.92,overcast clouds
Belyy Yar,RU,53.6039,91.3903,37.29,56,0,2.24,overcast clouds
Egvekinot,RU,66.3167,-179.1667,27.21,69,3,4.72,overcast clouds
Eyl,SO,7.9803,49.8164,82.44,73,5,7.76,overcast clouds
Manoel Urbano,BR,-8.8389,-69.2597,84.99,67,98,0.43,overcast clouds
